latitude,longitude
48.89341,2.33678
48.88265,2.34309
48.8779,2.36342
48.87249,2.38184
48.86055,2.36126
48.85478,2.38366
48.86357,2.35979
48.87997,2.35831
48.87669,2.38641
48.86435,2.27638
48.86349,2.37077
48.88643,2.3465
48.8675,2.34471
48.85425,2.27397
48.83883,2.28954
48.83669,2.34497
48.84716,2.34787
48.85103,2.37414
48.86354,2.34089
48.85179,2.38271
48.83903,2.3981
48.85058,2.34047
48.8824,2.31383
48.87574,2.33916
48.88498,2.35622
48.8509,2.33512
48.86673,2.36685
48.87407,2.3568
48.86057,2.31175
48.87326,2.30673
48.8459,2.29534
48.87417,2.40091
48.82361,2.36163
48.85279,2.33603
48.86783,2.38152
48.88907,2.33246
48.82983,2.35401
48.87261,2.3866
48.86347,2.36387
48.8783,2.29178
48.86751,2.37557
48.88746,2.32069
48.85967,2.29674
48.88473,2.39485
48.84693,2.35202
48.89009,2.33465
48.88565,2.34959
48.83429,2.28176
48.85871,2.33999
48.85015,2.28779
48.87377,2.3428
48.85188,2.38571
48.87896,2.34739
48.85119,2.3731
48.85673,2.36158
48.87667,2.3661
48.8765,2.35011
48.85602,2.29308
48.8436,2.2972
48.87716,2.34609
48.86053,2.35505
48.8468,2.30445
48.86387,2.346
48.869,2.37524
48.8232,2.37183
48.88652,2.31285
48.87137,2.35509
48.87578,2.39325
48.85249,2.29443
48.82538,2.32081
48.86329,2.35325
48.85619,2.3389
48.86592,2.36376
48.89442,2.3339
48.87334,2.39555
48.86112,2.37427
48.85267,2.3839
48.86476,2.40689
48.88438,2.32683
48.87417,2.35445
48.86678,2.37631
48.89198,2.3849
48.86417,2.36336
48.86202,2.38727
48.86524,2.35802
48.86858,2.40441
48.87956,2.29098
48.85616,2.38876
48.87833,2.36698
48.88093,2.37603
48.85494,2.36152
48.87363,2.35506
48.8843,2.3561
48.88718,2.35425
48.8548,2.36801
48.8751,2.35648
48.84953,2.38003
48.86722,2.37055
48.84794,2.27084
48.86982,2.35711
48.84462,2.29529
48.86092,2.28044
48.84498,2.31845
48.87589,2.385
48.87807,2.37729
48.85883,2.35547
48.84229,2.30382
48.87295,2.35587
48.88442367434008,2.336900576703812
48.86336,2.35871
48.85997,2.36398
48.85534,2.34137
48.87956,2.29157
48.86476,2.3651
48.87458,2.32298
48.88955,2.35748
48.86543,2.38185
48.85344,2.33896
48.86436501921272,2.3510673858350537
48.85211,2.33351
48.85205,2.34751
48.85416,2.38722
48.874,2.38222
48.83389,2.34889
48.88109,2.33505
48.83336,2.3715
48.85483,2.41038
48.87706,2.31868
