id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
47869886,Maison de ville moderne avec piscine,251979218,Déborah,Villenave-d'Ornon,Villenave-d'Ornon,44.79142,-0.57034,Entire home/apt,350,6,2,2022-08-13,0.14,1,79,1,
47571681,Appartement T3 Luxe place du Parlement hypercentre,154781125,Villa Reale,Bordeaux,Centre ville (Bordeaux),44.84118,-0.57297,Entire home/apt,510,1,4,2022-06-21,0.30,3,224,3,3306300252305
47576206,Maison familiale aux portes de Bordeaux,5824234,Sophie,Bgles,Bgles,44.80078,-0.56064,Entire home/apt,120,3,5,2022-08-07,0.38,1,356,4,
47576210,Appartement Cocooning Bordeaux - 2 chambres,76552007,Matthias,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85871,-0.57938,Entire home/apt,72,365,1,2021-02-15,0.05,1,365,0,
48178496,One-Bedroom Apartment (4 PAX) near Garonne River,271743808,Residhome,Bordeaux,Bordeaux Maritime,44.86025,-0.55437,Entire home/apt,203,1,17,2022-08-28,0.89,2,261,13,Exempt - hotel-type listing
47870558,Maison de famille avec jardin au centre ville,38724746,Daria,Talence,Talence,44.81504,-0.59134,Entire home/apt,101,6,1,2022-07-15,0.50,1,31,1,
47870897,Chambre (rouge)/cuisine/salle de bain à partager,55440582,Christelle,Pessac,Sardine,44.79457,-0.63246,Private room,35,3,33,2022-07-07,1.71,4,73,15,
48183532,Apt atypique terrasse quartier ST GÈNES BERGONIE,63346438,Laetitia,Bordeaux,Nansouty - Saint Gens,44.8231,-0.57832,Entire home/apt,120,2,17,2022-09-09,1.68,1,178,17,3306300644135
47590240,Lit en dortoir de 6 pers - Whoo Bordeaux Bacalan,384187732,Whoo,Bordeaux,Bordeaux Maritime,44.86375,-0.5506,Shared room,43,1,22,2022-09-02,1.89,6,200,22,
47876948,Bord'eau - Appart standing 70m2 av Parking,9382960,Kareen,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.8531,-0.56756,Entire home/apt,119,90,0,,,90,364,0,33063000830D9
47591134,Chambre Double Cap FERRET  idéal pour 2 personnes,384081014,Maison Manège,Bordeaux,Centre ville (Bordeaux),44.83978,-0.58617,Private room,142,1,0,,,5,325,0,
