id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2465164,Rooftop avec Jacuzzi et vue panoramique,12605537,Joan,,6e Arrondissement,45.77396,4.87396,Entire home/apt,85,5,5,2022-08-22,0.13,1,50,2,
2475277,studio with terrace,12660907,Anita Et Philippe,,4e Arrondissement,45.77587,4.83075,Entire home/apt,57,3,85,2022-08-28,1.01,1,274,22,6938412359474
2522738,The green bedroom,12916591,Dominique,,2e Arrondissement,45.75399,4.82564,Private room,115,2,6,2021-09-26,0.07,3,8,1,
2562218,Lyon3  lovely single room,5916662,Christiane,,3e Arrondissement,45.7499,4.884,Private room,36,2,168,2022-09-11,1.63,2,305,28,
2574267,Lyon 1er,8994443,Catherine,,1er Arrondissement,45.76872,4.83502,Entire home/apt,60,10,18,2022-06-04,0.24,1,75,4,6938112982832
2598292,Part Dieu T2 avec chambre balcon + P -Vivier Merle,5117719,Cecile,,3e Arrondissement,45.75502,4.8576,Entire home/apt,65,7,14,2021-05-25,0.14,16,255,0,6938312436410
2602298,Charmant appartement T2 * Lyon 1er,13328359,Séverine,,1er Arrondissement,45.76579,4.83086,Entire home/apt,40,365,16,2021-02-21,0.16,1,364,0,
2604316,Appartement sympa à la Croix-Rousse,13194801,Samuel,,4e Arrondissement,45.77404,4.82609,Entire home/apt,45,365,57,2017-05-08,0.56,1,0,0,
2611038,APPARTEMENT LYON 6° Foch/Roosevelt,11200925,Françoise,,6e Arrondissement,45.76753,4.84863,Entire home/apt,65,3,19,2022-04-24,0.19,2,99,1,6938612609640
2640252,"Pianino Opera, nice, quiet studio",3038226,Sophie,,1er Arrondissement,45.76899,4.83543,Entire home/apt,53,200,5,2021-07-17,0.06,7,103,0,6938112414094
2650078,"appartement 60 m2, immeuble classé",13565438,Clothilde,,5e Arrondissement,45.76391,4.82787,Entire home/apt,90,3,20,2022-07-20,0.20,2,273,7,6938512433186
2705522,Appartement Lyon Croix-Rousse,13846699,Ludovic,,1er Arrondissement,45.77393,4.83264,Entire home/apt,110,365,1,2016-12-29,0.01,1,0,0,
2730056,"Studio lumineux et bien aménagé, Part-Dieu, Lyon",1271050,Stéphane,,3e Arrondissement,45.7635,4.86523,Entire home/apt,84,1,21,2022-07-24,0.38,4,0,5,6938312354553
2751852,Canut centre ville,7523742,Florian,,1er Arrondissement,45.7726,4.82389,Entire home/apt,54,3,34,2021-12-12,0.40,1,289,3,6938113012724
2777134,"beau studio rénové ,centre de Lyon",14203254,Arlette,,7e Arrondissement,45.75142,4.8423,Entire home/apt,55,8,22,2022-08-27,0.26,1,180,5,Exempt - hotel-type listing
2810072,Loue meublé proche metro A au calme,12688592,Alain,,3e Arrondissement,45.77188,4.89023,Entire home/apt,55,3,20,2022-08-23,0.21,1,93,7,pas de numero dans ma commune
2829757,Meublé particulièrement calme,14476350,Christelle,,8e Arrondissement,45.72357,4.88062,Entire home/apt,55,3,63,2022-09-09,0.63,1,238,10,6938812533271
2833695,"LE TERRACOTTA, 6 COUCHAGES, PARKING, LYON/ CALUIRE",214497458,Key In The City,,6e Arrondissement,45.791718,4.864121,Entire home/apt,181,2,6,2022-08-31,1.68,3,353,6,
2839702,Private bedroom & south facing yard,7974833,Clémentine,,6e Arrondissement,45.76874,4.85276,Private room,55,1,4,2016-02-16,0.04,2,0,0,
2839704,Appart+Jardin à deux pas du parc de la Tête d'or,7974833,Clémentine,,6e Arrondissement,45.7701,4.85237,Entire home/apt,45,365,1,2017-12-10,0.02,2,0,0,
2854913,Chambre (2 pers) T2 berges du Rhône,14595282,Leslie,,3e Arrondissement,45.75673,4.84315,Private room,120,1,1,2014-12-07,0.01,1,0,0,
2894093,Agréable T2 Lyon1er/Croix Rousse,14790563,Isabelle,,1er Arrondissement,45.77426,4.8355,Entire home/apt,50,10,17,2021-07-22,0.17,1,2,0,6938112676984
2896466,Loft au cœur des Brotteaux pour vivre Lyon !,14803034,Alain,,6e Arrondissement,45.76755,4.85848,Entire home/apt,195,1,196,2022-08-06,2.33,2,347,43,6938612935183
2897630,chambre proche du centre - M2-1,14809773,Sébastien,,5e Arrondissement,45.75665,4.81511,Private room,30,4,6,2021-06-01,0.06,18,271,0,
2905485,Studio équipé dans maison au calme,14843562,Patricia Et Thierry,,6e Arrondissement,45.78707,4.84382,Entire home/apt,58,2,44,2022-08-17,0.46,1,267,9,
2906198,jolieT2 41m2 lyon,14590893,Chiraz,,5e Arrondissement,45.75696,4.81466,Private room,49,1,3,2014-05-19,0.03,1,0,0,
2915632,Appart cosy  sur les Pentes de la Croix Rousse,14889811,Karine,,1er Arrondissement,45.77166,4.83278,Entire home/apt,113,2,131,2022-08-17,1.30,3,9,2,6938113030243
2971337,Canut pentes de la Croix-Rousse,15160605,Céline,,1er Arrondissement,45.77178,4.83486,Entire home/apt,120,365,26,2017-12-10,0.27,1,0,0,
2976822,Appartement Arty,15183338,Agathe,,6e Arrondissement,45.76389,4.85684,Entire home/apt,59,3,50,2022-08-25,0.50,1,68,2,6938612656061
2977144,Spacieux appartement,15081400,Quentin,,7e Arrondissement,45.75465,4.8411,Entire home/apt,90,365,0,,,1,0,0,
2987786,1 chambre (Antoine) dans appart cosy,14889811,Karine,,1er Arrondissement,45.77165,4.83446,Private room,36,2,27,2022-07-11,0.28,3,16,9,
2996021,Cossu T2 avec balcon,15272676,Anaël,,3e Arrondissement,45.76127,4.8649,Entire home/apt,59,365,60,2018-03-17,0.59,1,0,0,
3014179,La campagne en ville,1466676,Matthieu Hélène,,5e Arrondissement,45.74392,4.78275,Private room,55,2,43,2022-09-06,0.43,1,332,10,
3020225,Comfortable 37m² flat for 4 people.,15389836,Hermès,,3e Arrondissement,45.75392,4.8675,Entire home/apt,50,365,0,,,1,0,0,
3031245,Studio terrasse république cosy chic avec garage,15439546,Silvere,,6e Arrondissement,45.76646,4.87622,Entire home/apt,58,3,15,2022-09-04,2.60,1,46,15,
3039971,L'Antre Sol,15479272,Valérie Et Marlène,,5e Arrondissement,45.76789,4.82569,Entire home/apt,64,7,15,2019-07-08,0.16,1,275,0,6938112466752
3045207,"Quai Victor Augagneur, Hôtel-Dieu",7576474,Nicolas,,3e Arrondissement,45.75875,4.84109,Entire home/apt,163,1,801,2022-08-28,8.34,7,273,34,6938312527668
3078335,"70 m2 privatises ,couloir commun.",15665972,Celine,,9e Arrondissement,45.80409,4.85387,Entire home/apt,60,1,149,2022-08-22,1.50,2,246,34,
3080412,Très bel appartement T2 idéalement situé,15675263,Marie,,2e Arrondissement,45.76089,4.83703,Entire home/apt,60,365,2,2016-11-10,0.02,1,0,0,
3080845,Chambre dans grand app de 90m2 vue dégagée,3596049,Emmanuel,,2e Arrondissement,45.74357,4.82407,Private room,52,2,52,2022-09-08,1.06,1,139,33,
3086902,STUDIO IN THE HEART OF CROIX-ROUSSE,15705939,Cathy,,4e Arrondissement,45.77813,4.832,Entire home/apt,57,2,367,2022-09-01,3.89,1,277,65,6938412636618
3101768,T3 climatisé dernier étage terrasse - vue dégagée,15770116,Laurence,,3e Arrondissement,45.75466,4.88195,Entire home/apt,60,2,117,2022-05-22,1.20,2,0,5,
3102942,Chambre avec sanitaires privés 18 mètres carrés,15665972,Celine,,9e Arrondissement,45.80342,4.85292,Private room,41,1,10,2022-07-29,0.82,2,288,10,
3104078,Joli T3 slopes of the Croix Rousse,15781138,Pierre,,1er Arrondissement,45.76984,4.83626,Entire home/apt,70,2,62,2022-08-28,0.73,1,0,11,6938112978179
3106592,Le centre ville au calme (chambre privée),9732751,Christophe,,7e Arrondissement,45.75093,4.8375,Private room,30,2,23,2019-01-05,0.23,2,0,0,
3109421,Lovely apartment in Royal neighborhood for 4,291015206,La Nuitée,,1er Arrondissement,45.76988,4.83745,Entire home/apt,79,2,18,2020-01-22,0.21,92,0,0,6938112689555
3120432,DUPLEX Centre CROIX ROUSSE / VUE JARDIN,10937034,Laurent,,4e Arrondissement,45.77842,4.8305,Entire home/apt,92,5,10,2022-01-06,0.12,1,342,2,6938412605538
3121084,studio dans maison de ville,15854880,Denis,,8e Arrondissement,45.72471,4.8801,Entire home/apt,42,7,7,2022-06-21,0.08,2,0,2,6938812412319
3136123,Bel appartement 5min Hotel de ville,15524720,Nina,,6e Arrondissement,45.77007,4.84382,Entire home/apt,85,365,6,2015-06-06,0.06,1,0,0,
3141991,"Design, superbe vue panoramique",15953411,Frédérique,,2e Arrondissement,45.75542,4.8291,Entire home/apt,124,365,38,2019-12-11,0.38,1,151,0,
3151277,"Charming 2 room flat, 55m² downtown",15995025,Paco Et Laurie,,7e Arrondissement,45.74895,4.8446,Entire home/apt,62,365,18,2016-12-29,0.20,2,0,0,
3159431,Lovely flat  .Vieux Lyon,16031596,Jean Marie,,5e Arrondissement,45.75791,4.82451,Entire home/apt,93,3,66,2022-08-23,0.72,1,228,14,6938012500631
3160087,Charmant T1 en plein coeur de Lyon,16034119,Laetitia,,7e Arrondissement,45.75421,4.84102,Entire home/apt,50,365,1,2014-12-09,0.01,1,0,0,
3163205,L’Artiste – studio calme au coeur de Lyon,15799960,Marc-Edouard,,1er Arrondissement,45.76868,4.83646,Entire home/apt,72,2,43,2022-09-08,0.44,1,41,19,6938113087354
3190160,Appartement Canut 2 personnes,16171182,Florence,,1er Arrondissement,45.77267,4.83501,Entire home/apt,50,365,83,2020-10-04,0.97,1,0,0,
3214660,Splendid appartement in city center,16234918,Marie Et Olivier,,1er Arrondissement,45.76831,4.82809,Entire home/apt,291,2,82,2022-08-12,0.87,1,352,11,6938113010249
3253366,Loft 300 m2 with garden Old Town,5322620,Guilaine,,5e Arrondissement,45.75438,4.82383,Entire home/apt,850,2,56,2022-05-08,0.62,2,1,6,6938512612736
3297586,Chambre d'hôtes indépendante de charme  Lyon 9,16657588,Sylvie Et Xavier,,9e Arrondissement,45.79923,4.83447,Private room,75,1,33,2022-07-10,0.71,1,170,15,
3305894,BELLECOUR ( rue gasparin ),16696034,Olivier,,2e Arrondissement,45.7579,4.8331,Entire home/apt,56,365,78,2020-08-26,0.78,1,88,0,
3327240,Chambre dans grand appartement Bellecour,16799498,Jean-Baptiste,,2e Arrondissement,45.75895,4.82997,Private room,150,2,0,,,1,90,0,
